criterion,rank_in_list,sido,sgg,adm_nm,score,score_adj,n_clinic,n_clinic_500m,n_clinic_1km,p_raw,ratio_40plus,density_per_10k,t_raw,t_transit,nearest_station,station_dist_m,med_desert_flag,centroid_mismatch_flag,suburban_cluster_flag,town_tag,adm_cd
score,1,서울특별시,도봉구,서울특별시 도봉구 창1동,0.9077453987730062,0.9077453987730062,8,0,41,122335.18485,0.6351,0.41531796483814276,33,46,창동,722,False,True,False,,11100590
score,2,경기도,부천시원미구,경기도 부천시원미구 소사동,0.8825153374233129,0.8825153374233129,1,1,13,136828.4319,0.7188,0.05253294143759021,39,46,소사,308,False,False,False,,31051551
score,3,서울특별시,동작구,서울특별시 동작구 사당5동,0.8613496932515338,0.8613496932515338,2,2,30,106175.00464999999,0.5648,0.10639038855930957,17,25,남성,608,False,False,False,,11200670
score,4,서울특별시,강북구,서울특별시 강북구 번3동,0.8543711656441718,0.8543711656441718,7,2,17,124715.06255,0.7072,0.39693681731629776,31,48,미아,1483,False,False,False,,11090620
score,5,서울특별시,광진구,서울특별시 광진구 능동,0.8485429447852761,0.8485429447852761,4,0,49,95301.90052499999,0.5064,0.21254560390100888,23,42,아차산,681,False,True,False,,11050590
score,6,서울특별시,관악구,서울특별시 관악구 청림동,0.8471625766871166,0.8471625766871166,2,3,26,109384.79999999999,0.595,0.10879025239338555,16,30,숭실대입구,839,False,False,False,,11210540
score,7,서울특별시,양천구,서울특별시 양천구 신정7동,0.8414110429447854,0.8414110429447854,9,3,24,135124.5874,0.6352,0.42307622246993076,30,36,양천구청,253,False,False,False,,11150700
score,8,서울특별시,노원구,서울특별시 노원구 월계3동,0.8317484662576686,0.8317484662576686,6,3,23,118738.81730625,0.6269,0.3167793048080169,27,38,광운대,289,False,False,False,,11110530
score,9,서울특별시,노원구,서울특별시 노원구 하계2동,0.8279524539877301,0.8279524539877301,0,2,22,104882.5951375,0.5944,0.0,27,40,하계,317,False,False,False,,11110590
score,10,경기도,부천시원미구,경기도 부천시원미구 역곡2동,0.8262269938650307,0.8262269938650307,6,1,30,110924.88859062499,0.6442,0.3484520064982669,38,47,역곡,664,False,False,False,,31051581
commute_priority,1,서울특별시,동작구,서울특별시 동작구 사당5동,0.8613496932515338,0.8347958146712334,2,2,30,106175.00464999999,0.5648,0.10639038855930957,17,25,남성,608,False,False,False,,11200670
commute_priority,2,서울특별시,관악구,서울특별시 관악구 청림동,0.8471625766871166,0.8270879420094847,2,3,26,109384.79999999999,0.595,0.10879025239338555,16,30,숭실대입구,839,False,False,False,,11210540
commute_priority,3,서울특별시,동작구,서울특별시 동작구 사당2동,0.7920245398773006,0.7881980409499793,13,0,11,81992.67887812499,0.6102,0.9674766221251437,11,29,동작,845,False,True,False,,11200730
commute_priority,4,서울특별시,광진구,서울특별시 광진구 능동,0.8485429447852761,0.7827548376397305,4,0,49,95301.90052499999,0.5064,0.21254560390100888,23,42,아차산,681,False,True,False,,11050590
commute_priority,5,서울특별시,동작구,서울특별시 동작구 상도4동,0.7487730061349693,0.7425715119123791,8,7,46,112583.6108,0.5888,0.41839127085449634,12,31,장승배기,796,False,False,False,,11200560
commute_priority,6,서울특별시,도봉구,서울특별시 도봉구 창1동,0.9077453987730062,0.7410933677406,8,0,41,122335.18485,0.6351,0.41531796483814276,33,46,창동,722,False,True,False,,11100590
