rank,adm_cd,sido,sgg,adm_nm,score,c_norm,p_norm,t_norm,c_raw,p_raw,t_raw,t_transit,pop_total,pop_40plus,ratio_40plus,catchment_pop_1_5km,catchment_pop_40plus,n_clinic,n_clinic_gi,n_within_radius,density_per_10k,n_clinic_500m,n_clinic_1km,n_clinic_2km,med_desert_flag,centroid_mismatch_flag,suburban_cluster_flag,nearest_station,station_dist_m,n_clinic_station_500m,adm_cd10
1,11100590,서울특별시,도봉구,서울특별시 도봉구 창1동,0.9077453987730062,0.9662576687116564,0.9647239263803681,0.3880368098159509,0.20765898241907138,122335.18485,33,46,23009,14612,0.6351,192623.5,122335.18485,8,0,0,0.41531796483814276,0,41,139,False,True,False,창동,722,17,1132051100
2,31051551,경기도,부천시원미구,경기도 부천시원미구 소사동,0.8825153374233129,0.9233128834355828,0.9984662576687117,0.1771472392638037,0.5262664707187951,136828.4319,39,46,5721,4112,0.7188,190356.75,136828.4319,1,0,1,0.05253294143759021,1,13,108,False,False,False,소사,308,4,4119256000
3,11200670,서울특별시,동작구,서울특별시 동작구 사당5동,0.8613496932515338,0.8573619631901841,0.8573619631901841,0.897239263803681,1.0531951942796547,106175.00464999999,17,25,13801,7795,0.5648,187986.90625,106175.00464999999,2,0,2,0.10639038855930957,2,30,161,False,False,False,남성,608,16,1159065100
4,11090620,서울특별시,강북구,서울특별시 강북구 번3동,0.8543711656441718,0.8220858895705522,0.9739263803680982,0.4616564417177914,1.198468408658149,124715.06255,31,48,15443,10921,0.7072,176350.484375,124715.06255,7,0,2,0.39693681731629776,2,17,121,False,False,False,미아,1483,19,1130560800
5,11050590,서울특별시,광진구,서울특별시 광진구 능동,0.8485429447852761,0.9723926380368099,0.7484662576687117,0.7415644171779141,0.10627280195050444,95301.90052499999,23,42,10735,5436,0.5064,188194.90625,95301.90052499999,4,0,0,0.21254560390100888,0,49,143,False,True,False,아차산,681,14,1121578000
6,11210540,서울특별시,관악구,서울특별시 관악구 청림동,0.8471625766871166,0.7960122699386503,0.8819018404907976,0.9210122699386503,1.5543951261966928,109384.79999999999,16,30,14220,8461,0.595,183840.0,109384.79999999999,2,0,3,0.10879025239338555,3,26,141,False,False,False,숭실대입구,839,10,1162054500
7,11150700,서울특별시,양천구,서울특별시 양천구 신정7동,0.8414110429447854,0.7622699386503068,0.9969325153374233,0.49769938650306744,1.7115381112349655,135124.5874,30,36,27658,17569,0.6352,212727.625,135124.5874,9,0,3,0.42307622246993076,3,24,137,False,False,False,양천구청,253,5,1147068000
8,11110530,서울특별시,노원구,서울특별시 노원구 월계3동,0.8317484662576686,0.7714723926380368,0.941717791411043,0.6081288343558282,1.6583896524040085,118738.81730625,27,38,27732,17386,0.6269,189406.3125,118738.81730625,6,0,3,0.3167793048080169,3,23,112,False,False,False,광운대,289,5,1135058000
9,11110590,서울특별시,노원구,서울특별시 노원구 하계2동,0.8279524539877301,0.8642638036809815,0.8404907975460123,0.6081288343558282,1.0,104882.5951375,27,40,19499,11590,0.5944,176451.203125,104882.5951375,0,0,2,0.0,2,22,79,False,False,False,하계,317,5,1135061200
10,31051581,경기도,부천시원미구,경기도 부천시원미구 역곡2동,0.8262269938650307,0.8926380368098159,0.897239263803681,0.20782208588957052,0.6742260032491334,110924.88859062499,38,47,16335,10523,0.6442,172190.140625,110924.88859062499,6,0,1,0.3484520064982669,1,30,81,False,False,False,역곡,664,29,4119258000
