rank_sido,sido,sgg,adm_nm,score,c_norm,p_norm,t_norm,n_clinic,n_clinic_500m,n_clinic_1km,n_clinic_2km,p_raw,pop_total,pop_40plus,ratio_40plus,catchment_pop_1_5km,density_per_10k,t_raw,t_transit,nearest_station,station_dist_m,n_clinic_station_500m,med_desert_flag,centroid_mismatch_flag,suburban_cluster_flag,adm_cd,adm_cd10
1,경기도,부천시원미구,경기도 부천시원미구 소사동,0.8825153374233129,0.9233128834355828,0.9984662576687117,0.1771472392638037,1,1,13,108,136828.4319,5721,4112,0.7188,190356.75,0.05253294143759021,39,46,소사,308,4,False,False,False,31051551,4119256000
2,경기도,부천시원미구,경기도 부천시원미구 역곡2동,0.8262269938650307,0.8926380368098159,0.897239263803681,0.20782208588957052,6,1,30,81,110924.88859062499,16335,10523,0.6442,172190.140625,0.3484520064982669,38,47,역곡,664,29,False,False,False,31051581,4119258000
3,경기도,부천시원미구,경기도 부천시원미구 상2동,0.8161809815950921,0.9309815950920245,0.8052147239263804,0.3489263803680982,17,0,30,91,101477.12277500001,27572,14810,0.5371,188935.25,0.8997791571451066,34,61,상동,895,27,False,True,False,31051691,4119269000
4,경기도,부천시원미구,경기도 부천시원미구 도당동,0.7934049079754601,0.9003067484662577,0.7361963190184049,0.5697852760736196,4,1,4,77,93888.7313203125,19765,12718,0.6435,145903.234375,0.27415430625199255,28,65,춘의,1013,1,False,False,False,31051601,4119260000
5,경기도,부천시소사구,경기도 부천시소사구 괴안동,0.7863496932515337,0.7852760736196319,0.9478527607361963,0.06441717791411039,4,3,37,65,119441.1577125,18135,11765,0.6487,184123.875,0.21724504766152677,44,47,역곡,863,29,False,False,False,31052591,4119457000
6,경기도,부천시원미구,경기도 부천시원미구 심곡3동,0.7839723926380369,0.6733128834355828,1.0,0.3098159509202454,4,5,60,153,139512.798984375,10567,6895,0.6525,213812.71875,0.187079609827935,35,58,부천,955,34,False,False,False,31051531,4119253000
7,경기도,부천시원미구,경기도 부천시원미구 상동,0.7648006134969325,0.665644171779141,0.9877300613496932,0.20782208588957052,6,5,44,139,129124.480484375,17347,10927,0.6299,204992.03125,0.2926943044279922,38,53,중동,651,14,False,False,False,31051621,4119267000
8,경기도,부천시소사구,경기도 부천시소사구 송내1동,0.7420245398773005,0.7177914110429449,0.9049079754601227,0.11809815950920244,7,4,32,72,112206.7691875,19678,12478,0.6341,176954.375,0.395582194562864,41,54,송내,529,17,False,False,False,31052531,4119459000
9,경기도,부천시원미구,경기도 부천시원미구 춘의동,0.7374233128834357,0.9785276073619632,0.5996932515337423,0.272239263803681,1,0,2,49,80111.567828125,13393,8660,0.6466,123896.640625,0.08071243860652497,36,53,부천종합운동장,359,0,False,False,False,31051591,4119259000
10,경기도,안양시동안구,경기도 안양시동안구 갈산동,0.7211273006134971,0.9900306748466258,0.5598159509202454,0.2369631901840491,0,0,25,72,76713.561034375,10320,6301,0.6106,125636.359375,0.0,37,46,범계,1851,21,False,True,False,31042670,4117363000
11,경기도,안양시동안구,경기도 안양시동안구 달안동,0.7123466257668711,0.8542944785276074,0.6825153374233128,0.20782208588957052,2,2,33,98,89217.130415625,9369,5290,0.5646,158018.296875,0.12656762156993093,38,44,범계,660,21,False,False,False,31042550,4117354600
12,경기도,광명시,경기도 광명시 철산1동,0.7071319018404909,0.7868098159509203,0.6579754601226994,0.5697852760736196,3,3,9,165,87111.30673124999,9840,5500,0.5589,155862.0625,0.1924778840906202,28,37,구일,771,2,False,False,False,31060580,4121059000
13,경기도,부천시소사구,경기도 부천시소사구 심곡본1동,0.6961656441717792,0.6365030674846626,0.8711656441717791,0.1771472392638037,14,5,39,90,107865.36446875,15292,10490,0.686,157238.140625,0.8903692160408361,39,53,부천,832,34,False,False,False,31052511,4119451000
14,경기도,부천시원미구,경기도 부천시원미구 심곡1동,0.6852760736196319,0.45858895705521474,0.995398773006135,0.3098159509202454,2,9,40,128,131525.97176875,11800,7602,0.6442,204169.46875,0.09795783925210413,35,58,부천,919,34,False,False,False,31051511,4119251000
15,경기도,광명시,경기도 광명시 철산2동,0.682361963190184,0.8604294478527608,0.5613496932515337,0.4256134969325154,1,2,33,154,76766.43324375,18378,10122,0.5508,139372.609375,0.07175010961510887,32,45,철산,809,28,False,False,False,31060590,4121060000
16,경기도,부천시오정구,경기도 부천시오정구 고강1동,0.6809049079754602,0.9739263803680982,0.4125766871165644,0.5697852760736196,2,0,15,55,64527.473259375,12006,8118,0.6762,95426.609375,0.20958514748654192,28,59,원종,1200,22,False,True,False,31053531,4119655000
17,경기도,부천시원미구,경기도 부천시원미구 약대동,0.6771472392638036,0.6180981595092024,0.7684049079754601,0.5322085889570551,2,6,18,98,97016.88865,16840,10237,0.6079,159593.5,0.12531838702704057,29,67,신중동,1197,20,False,False,False,31051631,4119261000
18,경기도,부천시오정구,경기도 부천시오정구 신흥동,0.6757668711656443,0.8788343558282209,0.48006134969325154,0.6426380368098159,8,1,7,25,70004.1747234375,16364,10786,0.6591,106211.765625,0.7532122221040424,26,71,신중동,2175,20,False,False,False,31053571,4119657000
