rank_sido,sido,sgg,adm_nm,score,c_norm,p_norm,t_norm,n_clinic,n_clinic_500m,n_clinic_1km,n_clinic_2km,p_raw,pop_total,pop_40plus,ratio_40plus,catchment_pop_1_5km,density_per_10k,t_raw,t_transit,nearest_station,station_dist_m,n_clinic_station_500m,med_desert_flag,centroid_mismatch_flag,suburban_cluster_flag,adm_cd,adm_cd10
1,서울특별시,도봉구,서울특별시 도봉구 창1동,0.9077453987730062,0.9662576687116564,0.9647239263803681,0.3880368098159509,8,0,41,139,122335.18485,23009,14612,0.6351,192623.5,0.41531796483814276,33,46,창동,722,17,False,True,False,11100590,1132051100
2,서울특별시,동작구,서울특별시 동작구 사당5동,0.8613496932515338,0.8573619631901841,0.8573619631901841,0.897239263803681,2,2,30,161,106175.00464999999,13801,7795,0.5648,187986.90625,0.10639038855930957,17,25,남성,608,16,False,False,False,11200670,1159065100
3,서울특별시,강북구,서울특별시 강북구 번3동,0.8543711656441718,0.8220858895705522,0.9739263803680982,0.4616564417177914,7,2,17,121,124715.06255,15443,10921,0.7072,176350.484375,0.39693681731629776,31,48,미아,1483,19,False,False,False,11090620,1130560800
4,서울특별시,광진구,서울특별시 광진구 능동,0.8485429447852761,0.9723926380368099,0.7484662576687117,0.7415644171779141,4,0,49,143,95301.90052499999,10735,5436,0.5064,188194.90625,0.21254560390100888,23,42,아차산,681,14,False,True,False,11050590,1121578000
5,서울특별시,관악구,서울특별시 관악구 청림동,0.8471625766871166,0.7960122699386503,0.8819018404907976,0.9210122699386503,2,3,26,141,109384.79999999999,14220,8461,0.595,183840.0,0.10879025239338555,16,30,숭실대입구,839,10,False,False,False,11210540,1162054500
6,서울특별시,양천구,서울특별시 양천구 신정7동,0.8414110429447854,0.7622699386503068,0.9969325153374233,0.49769938650306744,9,3,24,137,135124.5874,27658,17569,0.6352,212727.625,0.42307622246993076,30,36,양천구청,253,5,False,False,False,11150700,1147068000
7,서울특별시,노원구,서울특별시 노원구 월계3동,0.8317484662576686,0.7714723926380368,0.941717791411043,0.6081288343558282,6,3,23,112,118738.81730625,27732,17386,0.6269,189406.3125,0.3167793048080169,27,38,광운대,289,5,False,False,False,11110530,1135058000
8,서울특별시,노원구,서울특별시 노원구 하계2동,0.8279524539877301,0.8642638036809815,0.8404907975460123,0.6081288343558282,0,2,22,79,104882.5951375,19499,11590,0.5944,176451.203125,0.0,27,40,하계,317,5,False,False,False,11110590,1135061200
9,서울특별시,관악구,서울특별시 관악구 삼성동,0.8220858895705521,0.8358895705521472,0.8726993865030674,0.5322085889570551,4,2,12,48,107876.4555,19972,14141,0.708,152367.875,0.26252252976554274,29,43,서울대벤처타운,950,12,False,False,False,11210820,1162074500
10,서울특별시,동대문구,서울특별시 동대문구 청량리동,0.8165644171779141,0.7469325153374233,0.9493865030674846,0.5322085889570551,17,3,25,125,119674.169059375,17747,12386,0.6979,171477.53125,0.9913835285636,29,32,고려대,837,0,False,False,False,11060800,1123070500
